z_column,releases,R_DIS_all
ALL,2017-12-17 00:00:00,505.55213346174526
ALL,2017-12-17 01:00:00,479.68375532674116
ALL,2017-12-17 02:00:00,477.19990691745807
ALL,2017-12-17 03:00:00,490.89041411277316
ALL,2017-12-17 04:00:00,576.0947913316553
ALL,2017-12-17 05:00:00,499.5357502238488
ALL,2017-12-17 06:00:00,484.03708727261596
ALL,2017-12-17 07:00:00,557.5695955970632
ALL,2017-12-17 08:00:00,578.753536602727
ALL,2017-12-17 09:00:00,613.9201417735662
ALL,2017-12-17 10:00:00,552.3398055899621
ALL,2017-12-17 11:00:00,548.2417782073907
ALL,2017-12-17 12:00:00,537.50890409989
ALL,2017-12-17 13:00:00,466.4260585073543
ALL,2017-12-17 14:00:00,418.56639667865545
ALL,2017-12-17 15:00:00,434.2444565173341
ALL,2017-12-17 16:00:00,385.71063926602466
ALL,2017-12-17 17:00:00,387.8117254686433
ALL,2017-12-17 18:00:00,424.98381229076097
ALL,2017-12-17 19:00:00,513.0088553096607
ALL,2017-12-17 20:00:00,547.4306903474278
ALL,2017-12-17 21:00:00,555.0267902556241
ALL,2017-12-17 22:00:00,530.7502107958362
ALL,2017-12-17 23:00:00,462.2829217825804
ALL,2017-12-18 00:00:00,420.7917972780378
ALL,2017-12-18 01:00:00,482.8969671361662
ALL,2017-12-18 02:00:00,455.6082295578622
ALL,2017-12-18 03:00:00,457.65452826750834
ALL,2017-12-18 04:00:00,472.1448765083342
ALL,2017-12-18 05:00:00,472.73217763623927
ALL,2017-12-18 06:00:00,554.0807861867248
ALL,2017-12-18 07:00:00,553.3886814847101
ALL,2017-12-18 08:00:00,575.000514342864
ALL,2017-12-18 09:00:00,575.2377635389213
ALL,2017-12-18 10:00:00,558.2141221474352
ALL,2017-12-18 11:00:00,548.1615020504205
ALL,2017-12-18 12:00:00,553.5230074197974
ALL,2017-12-18 13:00:00,578.5799677463478
ALL,2017-12-18 14:00:00,549.8075171290782
ALL,2017-12-18 15:00:00,536.544179313182
ALL,2017-12-18 16:00:00,490.0901577123921
ALL,2017-12-18 17:00:00,499.7853552053009
ALL,2017-12-18 18:00:00,547.7464840222298
ALL,2017-12-18 19:00:00,580.9661371329623
ALL,2017-12-18 20:00:00,521.7624797231207
ALL,2017-12-18 21:00:00,490.48478713978045
ALL,2017-12-18 22:00:00,543.7765440817586
ALL,2017-12-18 23:00:00,594.055355853395
ALL,2017-12-19 00:00:00,563.0229128727353
ALL,2017-12-19 01:00:00,566.5001185278811
ALL,2017-12-19 02:00:00,599.5434652117025
