normalized,z_column,releases,conc_all
0,ALL,2017-12-15 17:00:00,340898.82700571924
0,ALL,2017-12-15 18:00:00,341232.7575499327
0,ALL,2017-12-15 19:00:00,341164.76170289377
0,ALL,2017-12-15 20:00:00,340860.32495741214
0,ALL,2017-12-15 21:00:00,341376.9643275625
0,ALL,2017-12-15 22:00:00,340505.6946248818
0,ALL,2017-12-15 23:00:00,340139.70014635276
0,ALL,2017-12-16 00:00:00,337936.54752108565
0,ALL,2017-12-16 01:00:00,337808.869178954
0,ALL,2017-12-16 02:00:00,337929.86089795316
0,ALL,2017-12-16 03:00:00,338782.31698517606
0,ALL,2017-12-16 04:00:00,336440.036076959
0,ALL,2017-12-16 05:00:00,336339.4324362208
0,ALL,2017-12-16 06:00:00,338214.6786689872
0,ALL,2017-12-16 07:00:00,333510.6601440058
0,ALL,2017-12-16 08:00:00,327283.91337149404
0,ALL,2017-12-16 09:00:00,330433.3099144994
0,ALL,2017-12-16 10:00:00,331725.32353776274
0,ALL,2017-12-16 11:00:00,334085.65210555913
0,ALL,2017-12-16 12:00:00,333682.77801353094
0,ALL,2017-12-16 13:00:00,337038.14211896097
0,ALL,2017-12-16 14:00:00,338485.2044693711
0,ALL,2017-12-16 15:00:00,341372.813923577
0,ALL,2017-12-16 16:00:00,342972.774637466
0,ALL,2017-12-16 17:00:00,342527.1325970998
0,ALL,2017-12-16 18:00:00,342694.82346814586
0,ALL,2017-12-16 19:00:00,342572.936042206
0,ALL,2017-12-16 20:00:00,342317.9029694357
0,ALL,2017-12-16 21:00:00,340085.0282927011
0,ALL,2017-12-16 22:00:00,340556.3443231116
0,ALL,2017-12-16 23:00:00,341383.1920651958
0,ALL,2017-12-17 00:00:00,340697.1957672572
0,ALL,2017-12-17 01:00:00,341520.6844926352
0,ALL,2017-12-17 02:00:00,341773.01613185153
0,ALL,2017-12-17 03:00:00,340901.05245567736
0,ALL,2017-12-17 04:00:00,338601.1267310347
0,ALL,2017-12-17 05:00:00,338985.7539916818
0,ALL,2017-12-17 06:00:00,337184.6723847317
0,ALL,2017-12-17 07:00:00,330822.5902141272
0,ALL,2017-12-17 08:00:00,322465.7887032599
0,ALL,2017-12-17 09:00:00,315636.482811889
0,ALL,2017-12-17 10:00:00,319176.3821942598
0,ALL,2017-12-17 11:00:00,316074.46818063024
0,ALL,2017-12-17 12:00:00,313820.1333610488
0,ALL,2017-12-17 13:00:00,326638.20085412654
0,ALL,2017-12-17 14:00:00,333317.6977126301
0,ALL,2017-12-17 15:00:00,336189.37826201
0,ALL,2017-12-17 16:00:00,338183.29279885866
0,ALL,2017-12-17 17:00:00,338900.743789323
0,ALL,2017-12-17 18:00:00,338666.710496856
0,ALL,2017-12-17 19:00:00,339971.75298616034
0,ALL,2017-12-17 20:00:00,340445.22792684357
0,ALL,2017-12-17 21:00:00,341804.8068563789
0,ALL,2017-12-17 22:00:00,342281.1746156109
0,ALL,2017-12-17 23:00:00,341792.6272963584
0,ALL,2017-12-18 00:00:00,341334.3652285682
0,ALL,2017-12-18 01:00:00,340550.12540267914
0,ALL,2017-12-18 02:00:00,340668.22405148885
0,ALL,2017-12-18 03:00:00,341338.73574368254
0,ALL,2017-12-18 04:00:00,341501.64910446183
0,ALL,2017-12-18 05:00:00,342284.15245669987
0,ALL,2017-12-18 06:00:00,342359.6301654762
0,ALL,2017-12-18 07:00:00,341529.57945034746
0,ALL,2017-12-18 08:00:00,341782.5532147521
0,ALL,2017-12-18 09:00:00,342452.1162875504
0,ALL,2017-12-18 10:00:00,341564.4129285176
0,ALL,2017-12-18 11:00:00,342105.4168149655
