z_column,releases,ZSL_all
ALL,2017-12-14 22:00:00,4701.759209543423
ALL,2017-12-14 23:00:00,4723.427445324215
ALL,2017-12-15 00:00:00,4719.520650783514
ALL,2017-12-15 01:00:00,4739.334495806092
ALL,2017-12-15 02:00:00,4745.724726794466
ALL,2017-12-15 03:00:00,4762.33086810921
ALL,2017-12-15 04:00:00,4743.887714974213
ALL,2017-12-15 05:00:00,4773.148291269808
ALL,2017-12-15 06:00:00,4656.711536068939
ALL,2017-12-15 07:00:00,4621.871368182056
ALL,2017-12-15 08:00:00,4809.219074616456
ALL,2017-12-15 09:00:00,4625.8010573379
ALL,2017-12-15 10:00:00,4659.1772288240645
ALL,2017-12-15 11:00:00,4557.093643661503
ALL,2017-12-15 12:00:00,4478.021469380765
ALL,2017-12-15 13:00:00,4542.870209872868
ALL,2017-12-15 14:00:00,4557.907881273076
ALL,2017-12-15 15:00:00,4593.454852595366
ALL,2017-12-15 16:00:00,4512.421412202826
ALL,2017-12-15 17:00:00,4320.290240863696
ALL,2017-12-15 18:00:00,4295.464845797221
ALL,2017-12-15 19:00:00,4466.1109590528595
ALL,2017-12-15 20:00:00,5044.749470506059
ALL,2017-12-15 21:00:00,4824.31901380898
ALL,2017-12-15 22:00:00,4856.082830043983
ALL,2017-12-15 23:00:00,4830.144324250349
ALL,2017-12-16 00:00:00,5444.893040459297
ALL,2017-12-16 01:00:00,5603.651310001376
ALL,2017-12-16 02:00:00,5110.335640176202
ALL,2017-12-16 03:00:00,4738.668584222231
ALL,2017-12-16 04:00:00,4622.082769078914
ALL,2017-12-16 05:00:00,4658.943365253166
ALL,2017-12-16 06:00:00,4758.7758084376865
ALL,2017-12-16 07:00:00,5637.313593115418
ALL,2017-12-16 08:00:00,5907.468142438087
ALL,2017-12-16 09:00:00,5240.547016937342
ALL,2017-12-16 10:00:00,4995.176350550717
ALL,2017-12-16 11:00:00,4808.602981468862
ALL,2017-12-16 12:00:00,4668.279012157094
ALL,2017-12-16 13:00:00,4560.378036620441
ALL,2017-12-16 14:00:00,4465.277351344308
ALL,2017-12-16 15:00:00,4878.44988104813
ALL,2017-12-16 16:00:00,4584.892169296967
ALL,2017-12-16 17:00:00,4654.662155492129
ALL,2017-12-16 18:00:00,4697.598695808609
ALL,2017-12-16 19:00:00,4798.799489560999
ALL,2017-12-16 20:00:00,4935.144503950068
ALL,2017-12-16 21:00:00,5566.761997440482
ALL,2017-12-16 22:00:00,6095.17720292759
ALL,2017-12-16 23:00:00,5323.256328215581
ALL,2017-12-17 00:00:00,5054.584249489543
ALL,2017-12-17 01:00:00,4883.1592662319035
ALL,2017-12-17 02:00:00,4941.5709867808955
ALL,2017-12-17 03:00:00,5186.727049009837
ALL,2017-12-17 04:00:00,5954.538731148523
ALL,2017-12-17 05:00:00,5344.885793562418
ALL,2017-12-17 06:00:00,5047.681626704695
ALL,2017-12-17 07:00:00,5338.351069389197
ALL,2017-12-17 08:00:00,5459.147285354485
ALL,2017-12-17 09:00:00,5624.090406937951
ALL,2017-12-17 10:00:00,5289.294146572369
ALL,2017-12-17 11:00:00,5307.4234564945245
ALL,2017-12-17 12:00:00,5505.4258668263865
ALL,2017-12-17 13:00:00,5309.578653356907
ALL,2017-12-17 14:00:00,5028.6619842674345
ALL,2017-12-17 15:00:00,5056.247018830871
ALL,2017-12-17 16:00:00,4786.892885834456
ALL,2017-12-17 17:00:00,4850.353485659075
ALL,2017-12-17 18:00:00,5161.812606540276
ALL,2017-12-17 19:00:00,5824.6708834950305
ALL,2017-12-17 20:00:00,5989.401036638907
ALL,2017-12-17 21:00:00,6262.2659861754755
ALL,2017-12-17 22:00:00,6182.762948026895
ALL,2017-12-17 23:00:00,5358.056070074622
ALL,2017-12-18 00:00:00,5001.435871649774
ALL,2017-12-18 01:00:00,5474.79089733799
ALL,2017-12-18 02:00:00,5321.450021548497
ALL,2017-12-18 03:00:00,5407.66994166236
ALL,2017-12-18 04:00:00,5563.2430516966315
ALL,2017-12-18 05:00:00,5534.510372949657
ALL,2017-12-18 06:00:00,6430.221470561046
ALL,2017-12-18 07:00:00,6658.3289007320245
ALL,2017-12-18 08:00:00,6627.862564062358
ALL,2017-12-18 09:00:00,6283.027790072306
ALL,2017-12-18 10:00:00,5759.035276391659
ALL,2017-12-18 11:00:00,5552.9321806077905
ALL,2017-12-18 12:00:00,6170.248844543129
ALL,2017-12-18 13:00:00,6235.982504719691
ALL,2017-12-18 14:00:00,6110.2465280013885
ALL,2017-12-18 15:00:00,6230.834381749859
ALL,2017-12-18 16:00:00,5523.163493406644
ALL,2017-12-18 17:00:00,5478.749536537541
ALL,2017-12-18 18:00:00,6156.748850010842
ALL,2017-12-18 19:00:00,6335.618801451442
ALL,2017-12-18 20:00:00,6878.573139160222
ALL,2017-12-18 21:00:00,6916.443491406508
ALL,2017-12-18 22:00:00,6929.310439208721
ALL,2017-12-18 23:00:00,6946.410377591012
ALL,2017-12-19 00:00:00,7275.206860042857
ALL,2017-12-19 01:00:00,7396.725918030971
ALL,2017-12-19 02:00:00,7130.191937328803
ALL,2017-12-19 03:00:00,6997.080495643828
ALL,2017-12-19 04:00:00,6737.402608602513
ALL,2017-12-19 05:00:00,6555.907498993028
ALL,2017-12-19 06:00:00,6539.0457495452065
ALL,2017-12-19 07:00:00,6642.694774542099
ALL,2017-12-19 08:00:00,6530.237534097995
ALL,2017-12-19 09:00:00,6499.325684387684
ALL,2017-12-19 10:00:00,6557.781311164059
ALL,2017-12-19 11:00:00,6569.540903337271
ALL,2017-12-19 12:00:00,6534.196363134188
ALL,2017-12-19 13:00:00,6516.936172485015
ALL,2017-12-19 14:00:00,6389.175881833294
ALL,2017-12-19 15:00:00,6393.940918089097
ALL,2017-12-19 16:00:00,6265.466917019408
ALL,2017-12-19 17:00:00,6337.928407877721
ALL,2017-12-19 18:00:00,6294.709476724596
ALL,2017-12-19 19:00:00,6180.58756744439
ALL,2017-12-19 20:00:00,6195.582049069052
ALL,2017-12-19 21:00:00,6149.843815963944
ALL,2017-12-19 22:00:00,5970.506199961029
ALL,2017-12-19 23:00:00,5778.94396911658
ALL,2017-12-20 00:00:00,5622.623050120536
ALL,2017-12-20 01:00:00,5671.604203725232
ALL,2017-12-20 02:00:00,5525.254101281272
ALL,2017-12-20 03:00:00,5445.5213513351455
ALL,2017-12-20 04:00:00,5271.534332218119
ALL,2017-12-20 05:00:00,5338.334249563458
ALL,2017-12-20 06:00:00,5206.669552214851
ALL,2017-12-20 07:00:00,5648.722271304698
ALL,2017-12-20 08:00:00,6088.588444741763
ALL,2017-12-20 09:00:00,5976.741426408842
ALL,2017-12-20 10:00:00,5780.585846747448
ALL,2017-12-20 11:00:00,5511.728558371926
ALL,2017-12-20 12:00:00,5251.495804654776
ALL,2017-12-20 13:00:00,5434.053736902484
ALL,2017-12-20 14:00:00,5578.727839951431
ALL,2017-12-20 15:00:00,5710.319309164535
ALL,2017-12-20 16:00:00,5728.952174477691
ALL,2017-12-20 17:00:00,5722.755274501926
ALL,2017-12-20 18:00:00,5687.611298318488
ALL,2017-12-20 19:00:00,5720.828076591197
ALL,2017-12-20 20:00:00,5742.85124024512
ALL,2017-12-20 21:00:00,5859.343503720942
ALL,2017-12-20 22:00:00,5753.792449985702
ALL,2017-12-20 23:00:00,5604.074847818495
ALL,2017-12-21 00:00:00,5559.2172027980405
ALL,2017-12-21 01:00:00,5465.641769478278
ALL,2017-12-21 02:00:00,5494.698611311115
ALL,2017-12-21 03:00:00,5505.061575205616
ALL,2017-12-21 04:00:00,5619.02210971201
ALL,2017-12-21 05:00:00,6759.322171979919
ALL,2017-12-21 06:00:00,6885.382909964504
ALL,2017-12-21 07:00:00,6968.702059400183
ALL,2017-12-21 08:00:00,6976.961501635168
ALL,2017-12-21 09:00:00,6911.187277145903
ALL,2017-12-21 10:00:00,6864.392624184291
ALL,2017-12-21 11:00:00,6681.50591554797
ALL,2017-12-21 12:00:00,6603.967536796646
ALL,2017-12-21 13:00:00,6239.466474050338
ALL,2017-12-21 14:00:00,5850.624929382905
ALL,2017-12-21 15:00:00,5854.818768730626
ALL,2017-12-21 16:00:00,5743.835160832118
ALL,2017-12-21 17:00:00,5945.768132130698
ALL,2017-12-21 18:00:00,6103.684786473213
ALL,2017-12-21 19:00:00,6122.982838160958
ALL,2017-12-21 20:00:00,6151.646844399762
ALL,2017-12-21 21:00:00,6325.344733240611
ALL,2017-12-21 22:00:00,6341.67775126585
ALL,2017-12-21 23:00:00,6372.292635175437
ALL,2017-12-22 00:00:00,6350.892283081259
ALL,2017-12-22 01:00:00,6325.445905873896
ALL,2017-12-22 02:00:00,6462.332917569362
ALL,2017-12-22 03:00:00,6516.3709097778265
ALL,2017-12-22 04:00:00,6502.640561377016
ALL,2017-12-22 05:00:00,6393.927803387767
ALL,2017-12-22 06:00:00,6371.002562672516
ALL,2017-12-22 07:00:00,6453.494455583263
ALL,2017-12-22 08:00:00,6427.924180552448
ALL,2017-12-22 09:00:00,6546.5094881898785
ALL,2017-12-22 10:00:00,6537.992141524618
ALL,2017-12-22 11:00:00,6561.806921581936
ALL,2017-12-22 12:00:00,6535.364675222109
ALL,2017-12-22 13:00:00,6350.2192019067725
ALL,2017-12-22 14:00:00,6372.195078129955
ALL,2017-12-22 15:00:00,6801.584004896278
ALL,2017-12-22 16:00:00,6908.508454520401
ALL,2017-12-22 17:00:00,6486.93524042544
ALL,2017-12-22 18:00:00,6184.748209760717
ALL,2017-12-22 19:00:00,6263.434437279644
ALL,2017-12-22 20:00:00,6731.941684304272
ALL,2017-12-22 21:00:00,6554.051367127966
ALL,2017-12-22 22:00:00,6605.648019239822
ALL,2017-12-22 23:00:00,6596.6215982503
ALL,2017-12-23 00:00:00,6662.548997264178
ALL,2017-12-23 01:00:00,7213.130517064761
ALL,2017-12-23 02:00:00,7091.618530651587
ALL,2017-12-23 03:00:00,7086.3886421555735
ALL,2017-12-23 04:00:00,7103.2020362298335
ALL,2017-12-23 05:00:00,6859.292513623985
ALL,2017-12-23 06:00:00,6780.499071279543
ALL,2017-12-23 07:00:00,6751.514665873375
ALL,2017-12-23 08:00:00,6743.667171652825
ALL,2017-12-23 09:00:00,6708.196583893905
ALL,2017-12-23 10:00:00,6698.210284517227
ALL,2017-12-23 11:00:00,6692.1337544437765
ALL,2017-12-23 12:00:00,6715.057206958078
ALL,2017-12-23 13:00:00,6671.50301973455
ALL,2017-12-23 14:00:00,6757.271755232836
ALL,2017-12-23 15:00:00,6867.158356507115
ALL,2017-12-23 16:00:00,7183.3628823234985
ALL,2017-12-23 17:00:00,7017.860754393144
ALL,2017-12-23 18:00:00,7142.137950728692
ALL,2017-12-23 19:00:00,7749.352468058829
ALL,2017-12-23 20:00:00,7510.863419234214
ALL,2017-12-23 21:00:00,7458.986302110306
ALL,2017-12-23 22:00:00,7613.622693096261
ALL,2017-12-23 23:00:00,7560.810205177693
ALL,2017-12-24 00:00:00,7519.088305625754
ALL,2017-12-24 01:00:00,7540.261426440822
ALL,2017-12-24 02:00:00,7260.78088343234
ALL,2017-12-24 03:00:00,7178.759317144258
ALL,2017-12-24 04:00:00,7122.907229620653
ALL,2017-12-24 05:00:00,7135.949823106335
ALL,2017-12-24 06:00:00,7090.695279448879
